Labelling column,Definitive UKHAB / EUNIS/NE Code,Level 1,Level 2 code,Level 2 Label,Level 3 code,Level 3 Label,Level 4 code,"Level 4 Label
 (Priority Habitats in Bold)",Distinctiveness Category,Distinctiveness Score,Trading Rules,Technical Difficulty Creation,Multiplier,Technical Difficulty Enhancement,Multiplier,Basic Description,Condition Assessment Notes,Irreplaceable
Urban - Developed land; sealed surface,u1b,Terrestrial,u,Urban,u1,Built-up areas and gardens,u1b,Developed land; sealed surface,V.Low,0,Compensation Not Required,Low,1,Low,1,,,No
Urban - Other green roof,89,Terrestrial,,Built environment,,Built-up areas and gardens,,,Low,2,Same distinctiveness or better habitat required ≥,Low,1,Low,1,,,No
Urban - Facade-bound green wall,843,Terrestrial,,Built environment,,Built-up areas and gardens,,Façade-bound green wall,Low,2,Same distinctiveness or better habitat required ≥,Medium,0.67,Medium,0.67,,,No
Urban - Ground based green wall,842,Terrestrial,,Built environment,,Built-up areas and gardens,,Ground based green wall,Low,2,Same distinctiveness or better habitat required ≥,Medium,0.67,Medium,0.67,,,No
Urban - Ground level planters,845,Terrestrial,,Built environment,,Built-up areas and gardens,,Ground level planters,Low,2,Same distinctiveness or better habitat required ≥,Low,1,Low,1,,,No
Urban - Biodiverse green roof,87,Terrestrial,,Built environment,,Built-up areas and gardens,,Intensive green roof,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Medium,0.67,Medium,0.67,,,No
Urban - Introduced shrub,847,Terrestrial,,Built environment,,Built-up areas and gardens,,Introduced shrub,Low,2,Same distinctiveness or better habitat required ≥,Low,1,Low,1,,,No
Urban - Open mosaic habitats on previously developed land,80,Terrestrial,,Built environment,,Built-up areas and gardens,u1a,Open Mosaic Habitats on Previously Developed Land,High,6,Same habitat required =,Medium,0.67,Medium,0.67,,,No
Urban - Rain garden,850,Terrestrial,,Built environment,,Built-up areas and gardens,,Rain garden,Low,2,Same distinctiveness or better habitat required ≥,Low,1,Low,1,,,No
Urban - Actively worked sand pit quarry or open cast mine,85,Terrestrial,,Built environment,,Built-up areas and gardens,,Sand pit quarry or open cast mine,Low,2,Same distinctiveness or better habitat required ≥,Medium,0.67,Low,1,,,No
Urban - Sustainable drainage system,848,Terrestrial,,Built environment,,Built-up areas and gardens,,Sustainable urban drainage feature,Low,2,Same distinctiveness or better habitat required ≥,Medium,0.67,Medium,0.67,,,No
Urban - Unvegetated garden,829,Terrestrial,,Built environment,,Built-up areas and gardens,,Un-vegetated garden,V.Low,0,Compensation Not Required,Low,1,Low,1,,,No
Urban - Vacant or derelict land,82,Terrestrial,,Built environment,,Built-up areas and gardens,,Vacant or derelict land,Low,2,Same distinctiveness or better habitat required ≥,Low,1,Low,1,Justify why not Open Mosaic Habitat.,,No
Urban - Bare ground,510,Terrestrial,,All habitats,,Built-up areas and gardens,,Bare ground,Low,2,Same distinctiveness or better habitat required ≥,Low,1,Low,1,Justify why not Open Mosaic Habitat.,,No
Urban - Vegetated garden,828,Terrestrial,,Built environment,,Built-up areas and gardens,,Vegetated garden,Low,2,Same distinctiveness or better habitat required ≥,Low,1,Low,1,,,No
Individual trees - Urban tree,NE0014,Terrestrial,,,,,,Street Tree,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Low,1,Low,1,,,Yes/No
Individual trees - Rural tree,NE0016,Terrestrial,,,,,,,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Low,1,Low,1,,,Yes/No
Wetland - Blanket bog,f1a,Terrestrial,f,Wetland,f1,Bog,f1a,Blanket bog,V.High,8,Same habitat required – bespoke compensation option ⚠,Very High,0.1,High,0.33,,,Yes
Wetland - Depressions on peat substrates (H7150),56,Terrestrial,f,Wetland,f1,Bog,,Depressions on Peat substrates (H7150),V.High,8,Same habitat required – bespoke compensation option ⚠,Very High,0.1,High,0.33,,,No
Wetland - Fens (upland and lowland),NE0020,Terrestrial,,,,Fen marsh and swamp,f2a,Lowland fens,V.High,8,Same habitat required – bespoke compensation option ⚠,High,0.33,High,0.33,,,Yes/No
Wetland - Lowland raised bog,f1b,Terrestrial,f,Wetland,f1,Bog,f1b,Lowland raised bog,V.High,8,Same habitat required – bespoke compensation option ⚠,Very High,0.1,High,0.33,,,Yes/No
Wetland - Oceanic valley mire[1] (D2.1),NE0010,Terrestrial,,,,Fen marsh and swamp,f2f,Oceanic Valley Mire[1] (D2.1),V.High,8,Same habitat required – bespoke compensation option ⚠,Very High,0.1,High,0.33,,,No
Wetland - Purple moor grass and rush pastures,f2b,Terrestrial,f,Wetland,f2,Fen marsh and swamp,f2b,Purple moor grass and rush pastures,V.High,8,Same habitat required – bespoke compensation option ⚠,High,0.33,High,0.33,,,No
Wetland - Reedbeds,f2e,Terrestrial,f,Wetland,f2,Fen marsh and swamp,f2e,Reedbeds,High,6,Same habitat required =,Medium,0.67,Medium,0.67,,,No
Wetland - Transition mires and quaking bogs (H7140),NE0021,Terrestrial,,,,Fen marsh and swamp,f2c8,Wetland - Transition mires and quaking bogs (H7140),V.High,8,Same habitat required – bespoke compensation option ⚠,Very High,0.1,High,0.33,,,No
Woodland and forest - Felled,206,Terrestrial,,Woodlands and Trees,,Other woodland,,Felled,High,6,Same habitat required =,High,0.33,Low,1,,,Yes/No
Woodland and forest - Lowland beech and yew woodland,w1c,Terrestrial,w,Woodland and forest,w1,Broadleaved mixed and yew woodland,w1c,Lowland beech and yew woodland,High,6,Same habitat required =,High,0.33,High,0.33,,,Yes/No
Woodland and forest - Lowland mixed deciduous woodland,w1f,Terrestrial,w,Woodland and forest,w1,Broadleaved mixed and yew woodland,w1f,Lowland mixed deciduous woodland,High,6,Same habitat required =,High,0.33,High,0.33,,,Yes/No
Woodland and forest - Native pine woodlands,w2a,Terrestrial,w,Woodland and forest,w2,Coniferous woodland,w2a,Native pine woodlands,High,6,Same habitat required =,High,0.33,High,0.33,,,Yes/No
Woodland and forest - Other coniferous woodland,w2c,Terrestrial,w,Woodland and forest,w2,Coniferous woodland,w2c,Other coniferous woodland,Low,2,Same distinctiveness or better habitat required ≥,Low,1,Low,1,,,Yes/No
Woodland and forest - Other Scot's pine woodland,w2b,Terrestrial,w,Woodland and forest,w2,Coniferous woodland,w2b,Other Scot's Pine woodland,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Medium,0.67,Medium,0.67,,,Yes/No
Woodland and forest - Other woodland; broadleaved,w1g,Terrestrial,w,Woodland and forest,,Broadleaved mixed and yew woodland,w1g,Other woodland; broadleaved,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Low,1,Low,1,,,Yes/No
Woodland and forest - Other woodland; mixed,w1h,Terrestrial,w,Woodland and forest,w1,Broadleaved mixed and yew woodland,w1h,Other woodland; mixed,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Low,1,Low,1,,,Yes/No
Woodland and forest - Upland birchwoods,w1e,Terrestrial,w,Woodland and forest,w1,Broadleaved mixed and yew woodland,w1e,Upland birchwoods,High,6,Same habitat required =,Medium,0.67,Medium,0.67,,,Yes/No
Woodland and forest - Upland mixed ashwoods,w1b,Terrestrial,w,Woodland and forest,w1,Broadleaved mixed and yew woodland,w1b,Upland mixed ashwoods,High,6,Same habitat required =,High,0.33,High,0.33,,,Yes/No
Woodland and forest - Upland oakwood,w1a,Terrestrial,w,Woodland and forest,w1,Broadleaved mixed and yew woodland,w1a,Upland oakwood,High,6,Same habitat required =,High,0.33,High,0.33,,,Yes/No
Woodland and forest - Wet woodland,w1d,Terrestrial,w,Woodland and forest,w1,Broadleaved mixed and yew woodland,w1d,Wet woodland,High,6,Same habitat required =,Medium,0.67,Medium,0.67,,,Yes/No
Woodland and forest - Wood-pasture and parkland,26,Terrestrial,w,Woodlands and Trees,,Other woodland,,Wood-pasture and parkland,V.High,8,Same habitat required – bespoke compensation option ⚠,Very High,0.1,High,0.33,,,Yes/No
Woodland and forest - Felled,206,Terrestrial,,Woodland and Trees,,Other woodland,,Felled,High,6,Same habitat required =,High,0.33,Low,1,,,Yes/No
Coastal lagoons - Coastal lagoons,x02,Intertidal,X02/03,Coastal lagoons,,Coastal lagoons,,,High,6,Same habitat required =,Medium,0.67,Medium,0.67,,,No
Rocky shore - High energy littoral rock,a1.1,Intertidal,A1,Rocky shore,,High energy littoral rock,,,High,6,Same habitat required =,High,0.33,Medium,0.67,,,No
"Rocky shore - High energy littoral rock - on peat, clay or chalk",A1.1,Intertidal,A1,Rocky shore,,"High energy littoral rock - on bedrock including chalk, peat or clay",,,V.High,8,Same habitat required – bespoke compensation option ⚠,Very High,0.1,Medium,0.67,,,No
Rocky shore - Moderate energy littoral rock,A1.2,Intertidal,A1,Rocky shore,,Moderate energy littoral rock,,,High,6,Same habitat required =,High,0.33,Medium,0.67,,,No
"Rocky shore - Moderate energy littoral rock - on peat, clay or chalk",A1.2 PCC,Intertidal,A1,Rocky shore,,"Moderate energy littoral rock - on bedrock including chalk, peat or clay",,,V.High,8,Same habitat required – bespoke compensation option ⚠,Very High,0.1,Medium,0.67,,,No
Rocky shore - Low energy littoral rock,A1.3,Intertidal,A1,Rocky shore,,Low energy littoral rock,,,High,6,Same habitat required =,High,0.33,Medium,0.67,,,No
"Rocky shore - Low energy littoral rock - on peat, clay or chalk",A1.3 PCC,Intertidal,A1,Rocky shore,,"Low energy littoral rock - on bedrock including chalk, peat or clay",,,V.High,8,Same habitat required – bespoke compensation option ⚠,Very High,0.1,Medium,0.67,,,No
Rocky shore - Features of littoral rock,A1.4,Intertidal,A1,Rocky shore,,Features of littoral rock,,,High,6,Same habitat required =,High,0.33,Medium,0.67,,,No
"Rocky shore - Features of littoral rock - on peat, clay or chalk",A1.PCC,Intertidal,A1,Rocky shore,,"Features of littoral rock - on bedrock including chalk, peat or clay",,,V.High,8,Same habitat required – bespoke compensation option ⚠,Very High,0.1,Medium,0.67,,,No
Coastal saltmarsh - Saltmarshes and saline reedbeds,A2.5,Intertidal,A2,Coastal saltmarsh,,Coastal saltmarshes and saline reedbeds,,,High,6,Same habitat required =,High,0.33,Medium,0.67,,,Yes/No
Coastal saltmarsh - Artificial saltmarshes and saline reedbeds,ART_A2.5,,,Coastal saltmarsh,,Artificial saltmarshes and saline reedbeds,,,Low,2,Same distinctiveness or better habitat required ≥,High,0.33,Medium,0.67,"For these habitats the artificial nature is determined by the underlying substrate, most restoration activities will fall under the net gain definition of recreated natural habitats. Situations that fall under artificial will be limited but not impossible and include any base substrate that falls under artificial in the definition above. Example: floating habitat creation systems where the underlying substrate is artificially contained.",,Yes/No
Intertidal sediment - Littoral coarse sediment,A2.1,Intertidal,A2,Intertidal sediment,,Littoral coarse sediment,,,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Medium,0.67,Medium,0.67,,,No
Intertidal sediment - Littoral mud,A2.3,Intertidal,A2,Intertidal sediment,,Littoral mud,,,High,6,Same habitat required =,High,0.33,Medium,0.67,,,No
Intertidal sediment - Littoral mixed sediments,A2.4,Intertidal,A2,Intertidal sediment,,Littoral mixed sediments,,,High,6,Same habitat required =,High,0.33,Medium,0.67,,,No
Intertidal sediment - Littoral seagrass,A2.6,Intertidal,A2,Intertidal sediment,,Littoral sediments dominated by aquatic angiosperms,,,High,6,Same habitat required =,High,0.33,High,0.33,,,No
"Intertidal sediment - Littoral seagrass on peat, clay or chalk",A2.6 PCC,Intertidal,A2,Intertidal sediment,,"Littoral seagrass - on peat, clay or chalk",,,V.High,8,Same habitat required – bespoke compensation option ⚠,Very High,0.1,High,0.33,,,No
Intertidal sediment - Littoral biogenic reefs - Mussels,A2.7 M,,,Intertidal sediment,,Littoral biogenic reefs - Mussels,,,High,6,Same habitat required =,High,0.33,Medium,0.67,,,No
Intertidal sediment - Littoral biogenic reefs - Sabellaria,A2.7 S,Intertidal,A2,Intertidal sediment,,Littoral biogenic reefs - Sabellaria,,,High,6,Same habitat required =,High,0.33,Medium,0.67,,,No
Intertidal sediment - Features of littoral sediment,A2.8,Intertidal,A2,Intertidal sediment,,Features of littoral sediment,,,High,6,Same habitat required =,High,0.33,Medium,0.67,,,No
Intertidal sediment - Artificial littoral coarse sediment,ART_A2.1,Intertidal,A2,Intertidal sediment,,Artificial littoral coarse sediment,,,Low,2,Same distinctiveness or better habitat required ≥,Medium,0.67,Medium,0.67,"Artificial sedimentary habitats will be those that cannot meet the general natural definition, particularly in respect to using substrate that is not of marine origin or that cannot remain in situation without significant engineering. Beneficial use & beach recharge or replenishment: Provided these use the same sediment type as originally present they fall into enhancement of existing habitats. In these situations, do not use the artificial habitat definition. Ensuring condition is as good as or better than originally and still requiring the 10% biodiversity unit gain. If it’s a different sediment type then it will be habitat creation – to be considered natural sediment creation the scheme must meet the natural habitat definition including an aim for biodiversity conservation. Otherwise, they will be considered artificial in the metric. Examples of artificial littoral sediment habitats: Sediments deposited around artificial islands, sediments contained in floating devices",,No
Intertidal sediment - Artificial littoral mud,ART_A2.3,,,Intertidal sediment,,Artificial littoral mud,,,Low,2,Same distinctiveness or better habitat required ≥,High,0.33,Medium,0.67,See above,,No
Intertidal sediment - Artificial littoral sand,ART_A2.21/A2.22/A2.23,,,Intertidal sediment,,Artificial littoral sand,,,Low,2,Same distinctiveness or better habitat required ≥,Medium,0.67,Medium,0.67,See above,,No
Intertidal sediment - Artificial littoral muddy sand,ART_A2.24,Intertidal,A2,Intertidal sediment,,Artificial littoral mud,,,Low,2,Same distinctiveness or better habitat required ≥,High,0.33,Medium,0.67,See above,,No
Intertidal sediment - Artificial littoral mixed sediments,ART_A2.4,Intertidal,A2,Intertidal sediment,,Artificial littoral mixed sediments,,,Low,2,Same distinctiveness or better habitat required ≥,High,0.33,Medium,0.67,See above,,No
Intertidal sediment - Artificial littoral seagrass,ART_A2.6,Intertidal,A2,Intertidal sediment,,Artificial littoral seagrass,,,Low,2,Same distinctiveness or better habitat required ≥,High,0.33,High,0.33,See basic description for 'Artificial saltmarshes and saline reedbeds'.,,No
Intertidal sediment - Artificial littoral biogenic reefs,ART_A2.7,Intertidal,A2,Intertidal sediment,,Artificial littoral biogenic reefs,,,Low,2,Same distinctiveness or better habitat required ≥,High,0.33,Medium,0.67,See basic description for 'Artificial saltmarshes and saline reedbeds'.,,No
Intertidal sediment - Littoral sand,A2.21/A2.22/A2.23,Intertidal,,Intertidal sediment,,Littoral sand,,,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Medium,0.67,Medium,0.67,,,No
Intertidal sediment - Littoral muddy sand,A2.24,Intertidal,,Intertidal sediment,,Littoral muddy sand,,,High,6,Same habitat required =,High,0.33,Medium,0.67,,,No
Intertidal hard structures - Artificial hard structures,ART_A1,Intertidal,,Intertidal hard structures,,Artificial hard structures,,,Low,2,Same distinctiveness or better habitat required ≥,Medium,0.67,Medium,0.67,"Artificial hard structures are man-made structures fulfilling a range of functions (for example coastal defences, port, harbour and marina installations, energy infrastructure, aquaculture). They can be made of various hard materials (artificial or natural rock, wood, plastics, metal) that would not normally be found in the area they are being deployed. Examples: seawalls, breakwaters, groynes, jetties, pilings, aquaculture trestles.",,No
Intertidal hard structures - Artificial features of hard structures,ART_A1.4,Intertidal,,Intertidal hard structures,,Artificial features of hard structures,,,Low,2,Same distinctiveness or better habitat required ≥,Medium,0.67,Medium,0.67,Where man-made materials are used to create artificial versions of A1.4 Features of littoral rock,,No
