Habitat Description,Good,Fairly Good,Moderate,Fairly Poor,Poor,Condition Assessment N/A,N/A - Other
Heathland and shrub - Dunes with sea buckthorn (H2160),3,2.5,2,1.5,1,NaN,NaN
Heathland and shrub - Other sea buckthorn scrub,NaN,NaN,NaN,NaN,NaN,1,NaN
Heathland and shrub - Willow scrub,3,2.5,2,1.5,1,NaN,NaN
Heathland and shrub - Upland heathland,3,2.5,2,1.5,1,NaN,NaN
Lakes - Aquifer fed naturally fluctuating water bodies,3,2.5,2,1.5,1,NaN,NaN
Lakes - High alkalinity lakes,3,2.5,2,1.5,1,NaN,NaN
Lakes - Low alkalinity lakes,3,2.5,2,1.5,1,NaN,NaN
Lakes - Marl lakes,3,2.5,2,1.5,1,NaN,NaN
Lakes - Moderate alkalinity lakes,3,2.5,2,1.5,1,NaN,NaN
Lakes - Peat lakes,3,2.5,2,1.5,1,NaN,NaN
Lakes - Ponds (priority habitat),3,2.5,2,1.5,1,NaN,NaN
Lakes - Ponds (non-priority habitat),3,2.5,2,1.5,1,NaN,NaN
Lakes - Reservoirs,3,2.5,2,1.5,1,NaN,NaN
Lakes - Temporary lakes ponds and pools (H3170),3,2.5,2,1.5,1,NaN,NaN
Sparsely vegetated land - Calaminarian grasslands,3,2.5,2,1.5,1,NaN,NaN
Sparsely vegetated land - Coastal sand dunes,3,2.5,2,1.5,1,NaN,NaN
Sparsely vegetated land - Coastal vegetated shingle,3,2.5,2,1.5,1,NaN,NaN
Sparsely vegetated land - Ruderal/Ephemeral,3,2.5,2,1.5,1,NaN,NaN
Sparsely vegetated land - Tall forbs,3,2.5,2,1.5,1,NaN,NaN
Sparsely vegetated land - Inland rock outcrop and scree habitats,3,2.5,2,1.5,1,NaN,NaN
Sparsely vegetated land - Limestone pavement,3,2.5,2,1.5,1,NaN,NaN
Sparsely vegetated land - Maritime cliff and slopes,3,2.5,2,1.5,1,NaN,NaN
Sparsely vegetated land - Other inland rock and scree,3,2.5,2,1.5,1,NaN,NaN
Urban - Allotments,3,2.5,2,1.5,1,NaN,NaN
Lakes - Ornamental lake or pond,3,2.5,2,1.5,1,NaN,NaN
"Urban - Artificial unvegetated, unsealed surface",NaN,NaN,NaN,NaN,NaN,NaN,0
Urban - Bioswale,3,2.5,2,1.5,1,NaN,NaN
Urban - Intensive green roof,3,2.5,2,1.5,1,NaN,NaN
Urban - Built linear features,NaN,NaN,NaN,NaN,NaN,NaN,0
Urban - Cemeteries and churchyards,3,2.5,2,1.5,1,NaN,NaN
Urban - Developed land; sealed surface,NaN,NaN,NaN,NaN,NaN,NaN,0
Urban - Other green roof,NaN,NaN,NaN,NaN,NaN,1,NaN
Urban - Facade-bound green wall,3,2.5,2,1.5,1,NaN,NaN
Urban - Ground based green wall,3,2.5,2,1.5,1,NaN,NaN
Urban - Ground level planters,NaN,NaN,NaN,NaN,NaN,1,NaN
Urban - Biodiverse green roof,3,2.5,2,1.5,1,NaN,NaN
Urban - Introduced shrub,NaN,NaN,NaN,NaN,NaN,1,NaN
Urban - Open mosaic habitats on previously developed land,3,2.5,2,1.5,1,NaN,NaN
Urban - Rain garden,3,2.5,2,1.5,1,NaN,NaN
Urban - Actively worked sand pit quarry or open cast mine,NaN,NaN,NaN,NaN,NaN,1,NaN
Individual trees - Urban tree,3,2.5,2,1.5,1,NaN,NaN
Urban - Sustainable drainage system,3,2.5,2,1.5,1,NaN,NaN
Urban - Unvegetated garden,NaN,NaN,NaN,NaN,NaN,NaN,0
Urban - Vacant or derelict land,3,2.5,2,1.5,1,NaN,NaN
Urban - Bare ground,3,2.5,2,1.5,1,NaN,NaN
Urban - Vegetated garden,NaN,NaN,NaN,NaN,NaN,1,NaN
Wetland - Blanket bog,3,2.5,2,1.5,1,NaN,NaN
Wetland - Depressions on peat substrates (H7150),3,2.5,2,1.5,1,NaN,NaN
Wetland - Fens (upland and lowland),3,2.5,2,1.5,1,NaN,NaN
Wetland - Lowland raised bog,3,2.5,2,1.5,1,NaN,NaN
Wetland - Oceanic valley mire[1] (D2.1),3,2.5,2,1.5,1,NaN,NaN
Wetland - Purple moor grass and rush pastures,3,2.5,2,1.5,1,NaN,NaN
Wetland - Reedbeds,3,2.5,2,1.5,1,NaN,NaN
Wetland - Transition mires and quaking bogs (H7140),3,2.5,2,1.5,1,NaN,NaN
Woodland and forest - Felled,3,NaN,NaN,NaN,NaN,NaN,NaN
Woodland and forest - Lowland beech and yew woodland,3,2.5,2,1.5,1,NaN,NaN
Woodland and forest - Lowland mixed deciduous woodland,3,2.5,2,1.5,1,NaN,NaN
Woodland and forest - Native pine woodlands,3,2.5,2,1.5,1,NaN,NaN
Woodland and forest - Other coniferous woodland,3,2.5,2,1.5,1,NaN,NaN
Woodland and forest - Other Scot's pine woodland,3,2.5,2,1.5,1,NaN,NaN
Woodland and forest - Other woodland; broadleaved,3,2.5,2,1.5,1,NaN,NaN
Woodland and forest - Other woodland; mixed,3,2.5,2,1.5,1,NaN,NaN
Woodland and forest - Upland birchwoods,3,2.5,2,1.5,1,NaN,NaN
Woodland and forest - Upland mixed ashwoods,3,2.5,2,1.5,1,NaN,NaN
Woodland and forest - Upland oakwood,3,2.5,2,1.5,1,NaN,NaN
Woodland and forest - Wet woodland,3,2.5,2,1.5,1,NaN,NaN
Woodland and forest - Wood-pasture and parkland,3,2.5,2,1.5,1,NaN,NaN
Coastal lagoons - Coastal lagoons,3,2.5,2,1.5,1,NaN,NaN
Rocky shore - High energy littoral rock,3,2.5,2,1.5,1,NaN,NaN
"Rocky shore - High energy littoral rock - on peat, clay or chalk",3,2.5,2,1.5,1,NaN,NaN
Rocky shore - Moderate energy littoral rock,3,2.5,2,1.5,1,NaN,NaN
"Rocky shore - Moderate energy littoral rock - on peat, clay or chalk",3,2.5,2,1.5,1,NaN,NaN
Rocky shore - Low energy littoral rock,3,2.5,2,1.5,1,NaN,NaN
"Rocky shore - Low energy littoral rock - on peat, clay or chalk",3,2.5,2,1.5,1,NaN,NaN
Rocky shore - Features of littoral rock,3,2.5,2,1.5,1,NaN,NaN
"Rocky shore - Features of littoral rock - on peat, clay or chalk",3,2.5,2,1.5,1,NaN,NaN
Intertidal sediment - Littoral coarse sediment,3,2.5,2,1.5,1,NaN,NaN
Intertidal sediment - Littoral mud,3,2.5,2,1.5,1,NaN,NaN
Intertidal sediment - Littoral mixed sediments,3,2.5,2,1.5,1,NaN,NaN
Coastal saltmarsh - Saltmarshes and saline reedbeds,3,2.5,2,1.5,1,NaN,NaN
Coastal saltmarsh - Artificial saltmarshes and saline reedbeds,3,2.5,2,1.5,1,NaN,NaN
Intertidal sediment - Littoral seagrass,3,2.5,2,1.5,1,NaN,NaN
"Intertidal sediment - Littoral seagrass on peat, clay or chalk",3,2.5,2,1.5,1,NaN,NaN
Intertidal sediment - Littoral biogenic reefs - Mussels,3,2.5,2,1.5,1,NaN,NaN
Intertidal sediment - Littoral biogenic reefs - Sabellaria,3,2.5,2,1.5,1,NaN,NaN
Intertidal sediment - Features of littoral sediment,3,2.5,2,1.5,1,NaN,NaN
Intertidal sediment - Artificial littoral coarse sediment,3,2.5,2,1.5,1,NaN,NaN
Intertidal sediment - Artificial littoral mud,3,2.5,2,1.5,1,NaN,NaN
Intertidal sediment - Artificial littoral sand,3,2.5,2,1.5,1,NaN,NaN
Intertidal sediment - Artificial littoral muddy sand,3,2.5,2,1.5,1,NaN,NaN
Intertidal sediment - Artificial littoral mixed sediments,3,2.5,2,1.5,1,NaN,NaN
Intertidal sediment - Artificial littoral seagrass,3,2.5,2,1.5,1,NaN,NaN
Intertidal sediment - Artificial littoral biogenic reefs,3,2.5,2,1.5,1,NaN,NaN
Intertidal sediment - Littoral sand,3,2.5,2,1.5,1,NaN,NaN
Intertidal sediment - Littoral muddy sand,3,2.5,2,1.5,1,NaN,NaN
Intertidal hard structures - Artificial hard structures,3,2.5,2,1.5,1,NaN,NaN
Intertidal hard structures - Artificial features of hard structures,3,2.5,2,1.5,1,NaN,NaN
Intertidal hard structures - Artificial hard structures with integrated greening of grey infrastructure (IGGI),3,2.5,2,1.5,1,NaN,NaN
Watercourse footprint - Watercourse footprint,NaN,NaN,NaN,NaN,NaN,NaN,0
Individual trees - Rural tree,3,2.5,2,1.5,1,NaN,NaN
